energy N2_RT_initial N2_RT_initial_ref
11545.4 3.3738874920600006 -0.7986914245496912
11545.6 3.37537716853052 -0.797579750738601
11545.8 3.379320809469042 -0.7966624745543046
11546.0 3.3821968271740537 -0.795533075120206
11546.2 3.381933833275021 -0.7943786747566122
11546.4 3.382309185667961 -0.7933250639045828
11546.6 3.3835661550746425 -0.7919373526113058
11546.8 3.3891721383508164 -0.7904761801744673
11547.0 3.386336927995816 -0.7891775539569511
11547.2 3.3838249427601457 -0.7879319666599589
11547.4 3.391997664507791 -0.7865694250876083
11547.6 3.3909613585839185 -0.7853387909522446
11547.8 3.3923784926214093 -0.7839493457281429
11548.0 3.393115390252713 -0.782322770660443
11548.2 3.3950453798344133 -0.7806568529876797
11548.4 3.394337479510187 -0.7786643301441535
11548.6 3.399874113442266 -0.7770302055507466
11548.8 3.4019429677080555 -0.7753886740747002
11549.0 3.400845448244815 -0.7738539165380889
11549.2 3.401211779373072 -0.7718863049805814
11549.4 3.40560125424644 -0.7700095737913052
11549.6 3.4093791199059282 -0.7680524489171006
11549.8 3.409611572836198 -0.7659636572569035
11550.0 3.4076491194878065 -0.7636711183896564
11550.2 3.4124175122306415 -0.7615886759749582
11550.4 3.4134405956687974 -0.7594596991608811
11550.6 3.416442098065627 -0.7570785740530008
11550.8 3.4212929903541496 -0.7545311501212354
11551.0 3.42293008602352 -0.7519847371152603
11551.2 3.4265558975948087 -0.7494660993897792
11551.4 3.4267832012527792 -0.7469214772879832
11551.6 3.427169181035183 -0.7440852295559323
11551.8 3.4314700436034187 -0.7409939437587086
11552.0 3.433989061276207 -0.7380170562232105
11552.2 3.4352283922046234 -0.7347801159645457
11552.4 3.43806456990882 -0.7313029850392119
11552.6 3.4396133667041084 -0.7281706276862678
11552.8 3.445312015521507 -0.7248104109022344
11553.0 3.4464935830063164 -0.7211005983850659
11553.2 3.4497744013562603 -0.7176481863000189
11553.4 3.456056799303651 -0.7136121289925905
11553.6 3.4570952013408633 -0.7093560645267606
11553.8 3.4627564603308505 -0.7050314592273543
11554.0 3.469435581142635 -0.7003585705106693
11554.2 3.4677760146595706 -0.6955797966027041
11554.4 3.475628636915606 -0.6905936956750541
11554.6 3.4813258979752413 -0.6854356614131618
11554.8 3.4850219406483376 -0.680239697482975
11555.0 3.4872495794581964 -0.674382724625604
11555.2 3.489448850344847 -0.6681860940221901
11555.4 3.494194954292586 -0.6618916963187552
11555.6 3.5041960093499585 -0.6551745957195565
11555.8 3.509573579404637 -0.647758898442551
11556.0 3.516121788265572 -0.6402139053233673
11556.2 3.52102485424606 -0.632202085605792
11556.4 3.527269428085653 -0.6242845062678651
11556.6 3.53648741008415 -0.6154901139312359
11556.8 3.539066005922118 -0.6062694418367577
11557.0 3.548213269857222 -0.5961221388634477
11557.2 3.5566373128509827 -0.585343578944608
11557.4 3.563724657612525 -0.5747428756340643
11557.6 3.5741721923129535 -0.5629900077324567
11557.8 3.583863446821086 -0.5505277868775335
11558.0 3.5930785558367804 -0.5368399235994821
11558.2 3.604141380965734 -0.5225349113435876
11558.4 3.616321827914351 -0.5074380433821175
11558.6 3.6278991271017658 -0.4911014145176403
11558.8 3.641528640369052 -0.47395646247682355
11559.0 3.6540247129755516 -0.45540930096931675
11559.2 3.6686224295080736 -0.43549094922724224
11559.4 3.683333861178777 -0.4138748457458039
11559.6 3.700378032180796 -0.3913002668600749
11559.8 3.7220089900283324 -0.36678029958645886
