energy H2_300_initial H2_300_initial_ref
11544.6 3.7872416128913784 -0.8918786828639114
11544.8 3.7842873830649153 -0.8905988805212451
11545.0 3.783775157566022 -0.8901348234047165
11545.2 3.7881441591123566 -0.8888856535342324
11545.4 3.789233796583401 -0.8873466069682723
11545.6 3.7916485522076466 -0.8865307831705688
11545.8 3.792768425193228 -0.8851106984921913
11546.0 3.7945961608511896 -0.8840783475709886
11546.2 3.79228058137588 -0.8834242796737712
11546.4 3.791970877149065 -0.8819227738397971
11546.6 3.7989363142977917 -0.8807493086530236
11546.8 3.798687001434093 -0.8797367719767717
11547.0 3.7988656814677744 -0.8779193838017153
11547.2 3.7979916209458446 -0.876587103826644
11547.4 3.8024994243744104 -0.8752200696368225
11547.6 3.7985494667474873 -0.8738482379611059
11547.8 3.803252732058786 -0.8723956557418608
11548.0 3.8064045088558625 -0.8709066671779887
11548.2 3.810181187088966 -0.8693911124720486
11548.4 3.8106227969293256 -0.8676627842351241
11548.6 3.80942444681916 -0.8659774532629935
11548.8 3.812467260170014 -0.8644172024969949
11549.0 3.8158633149661334 -0.8624953024977167
11549.2 3.815279829245736 -0.8610440090082392
11549.4 3.8211698251781274 -0.8590605952770257
11549.6 3.824826370026438 -0.857121710507297
11549.8 3.822900371912371 -0.8550982560608357
11550.0 3.8287362716720597 -0.8529491341405907
11550.2 3.8314951627398526 -0.8507543375417771
11550.4 3.8302926820699033 -0.8482601844884184
11550.6 3.832521450113266 -0.8461861925783977
11550.8 3.8359338874017097 -0.8439211392439596
11551.0 3.8386056587149398 -0.8413218383624562
11551.2 3.835770825146235 -0.8383615755740808
11551.4 3.8381328540266835 -0.8357993711181525
11551.6 3.8451841514405554 -0.8332055863283685
11551.8 3.8484457336881843 -0.8306092468080528
11552.0 3.8510740465545763 -0.8277097851942846
11552.2 3.8546354707846198 -0.8241710151694751
11552.4 3.853580195925867 -0.8208987865201031
11552.6 3.8561919268247817 -0.8176691278664457
11552.8 3.861452744657945 -0.8142883819162012
11553.0 3.8630006583844376 -0.8106018384880592
11553.2 3.867770683839221 -0.8067699377366829
11553.4 3.87586235176742 -0.802696091788019
11553.6 3.8775211358356816 -0.7987229983976821
11553.8 3.8841843743896107 -0.7945885328550176
11554.0 3.887930455481057 -0.7899594031025555
11554.2 3.888410886620607 -0.7853478165378258
11554.4 3.892354247751061 -0.7806373107843791
11554.6 3.8979558303910453 -0.7754414654721578
11554.8 3.9021952200582413 -0.7698471092407291
11555.0 3.9042829708753133 -0.7643250211942548
11555.2 3.9138334918042927 -0.7577779765611864
11555.4 3.9198717907271536 -0.7515010514872309
11555.6 3.923793172492234 -0.744997685868162
11555.8 3.930931036054186 -0.7382713434136419
11556.0 3.936988513457486 -0.730623866921583
11556.2 3.940204955221305 -0.7229827141520211
11556.4 3.945611093529313 -0.7151974801156225
11556.6 3.9598094506004093 -0.7061211860907998
11556.8 3.9644930517598778 -0.6968149104933207
11557.0 3.972422726161649 -0.6872420258194364
11557.2 3.97790601707104 -0.6767614170674019
11557.4 3.991647458964409 -0.6659852862246038
11557.6 3.9996845481560785 -0.6541153097659024
11557.8 4.009964849623419 -0.6416751709610294
