energy He_RT_after_O2 He_RT_after_O2_ref
11542.0 3.765441274016666 -0.9023148161916924
11542.2 3.767502167676515 -0.9015043518190318
11542.4 3.769482437040576 -0.9009532818795839
11542.6 3.7666406905561325 -0.9001873040543282
11542.8 3.767579609766036 -0.8991540163263166
11543.0 3.7686714327820887 -0.8984914607819391
11543.2 3.7722235067344383 -0.8976059674728213
11543.4 3.775814723128885 -0.8967330850438918
11543.6 3.7714035679205304 -0.8962018040736284
11543.8 3.7777637299150864 -0.8955913784982455
11544.0 3.7787043366214057 -0.8945161470461063
11544.2 3.7790775380021726 -0.8930978848720953
11544.4 3.7786953740731386 -0.8925766265636058
11544.6 3.779994480145175 -0.8920055419201078
11544.8 3.781188996259295 -0.8908565649387077
11545.0 3.778700487711205 -0.8897245701104927
11545.2 3.779890079140334 -0.8888156390580136
11545.4 3.7889604898000213 -0.8871793607257457
11545.6 3.785641289138897 -0.8863189283218748
11545.8 3.7859103625325177 -0.8854565264387124
11546.0 3.78828604424874 -0.8841201823817056
11546.2 3.7914281628584354 -0.8831491206575539
11546.4 3.79118914302057 -0.8817954611217592
11546.6 3.794229280889918 -0.8806247130299737
11546.8 3.792620292380383 -0.8795134137510638
11547.0 3.7952919149028017 -0.8780654153302762
11547.2 3.796042029331909 -0.8766951239239529
11547.4 3.799338587509688 -0.87528098754928
11547.6 3.8024305648791774 -0.8740129013571026
11547.8 3.8046863116776173 -0.8723738221186771
11548.0 3.8026650007704257 -0.8708700895327491
11548.2 3.811727172741277 -0.8692397747957471
11548.4 3.8104193342744934 -0.8673788951398336
11548.6 3.8060411377973415 -0.8658991417578716
11548.8 3.8075247973189965 -0.8640305472625316
11549.0 3.8115348602476176 -0.8625634606251634
11549.2 3.8140344440098812 -0.860588373121992
11549.4 3.8201444114599448 -0.8581580796206512
11549.6 3.8218287706860616 -0.8569773979236665
11549.8 3.822557757925824 -0.8545522344464984
11550.0 3.8263141420833366 -0.8525507420650643
11550.2 3.8251741772038703 -0.8500425875979879
11550.4 3.8270343366386546 -0.8480024326160202
11550.6 3.8324598648483446 -0.8457618742557392
11550.8 3.83899736157975 -0.8435168648130615
11551.0 3.8346467958992485 -0.8409719612322444
11551.2 3.835925443719699 -0.8383720557725345
11551.4 3.845408343256675 -0.8355865198952138
11551.6 3.8501225534168175 -0.8326552906524897
11551.8 3.8516164575876997 -0.8297283686171726
11552.0 3.8528569830569555 -0.8269118083517671
11552.2 3.8546912373469757 -0.8237716038962188
11552.4 3.856705373546243 -0.8203275101963092
11552.6 3.8597937837123624 -0.8170201931483002
11552.8 3.8638142044313675 -0.8136954631490243
11553.0 3.868697687599511 -0.809987148134906
11553.2 3.8772750672093004 -0.8066244230825884
11553.4 3.874194090086351 -0.8023130571728087
11553.6 3.882031177248539 -0.7981171696320756
11553.8 3.884988319859494 -0.7936845653878789
11554.0 3.8910960532991146 -0.7892873536352125
11554.2 3.893255126848015 -0.7844877102980127
11554.4 3.8962169780267097 -0.7798779033564606
11554.6 3.905779045727763 -0.7742396383444978
11554.8 3.913817508990327 -0.7689768928186324
11555.0 3.9180773413784755 -0.7631062167021426
11555.2 3.9212753386299246 -0.7570478992355678
11555.4 3.9271772459329304 -0.7506078322956593
11555.6 3.936832761970393 -0.7438808370486962
11555.8 3.946175099816773 -0.7367188695965
11556.0 3.950273336025598 -0.7291380749959565
11556.2 3.957122316161031 -0.7213084361161365
11556.4 3.965248812522918 -0.7127072361953326
11556.6 3.975634047484278 -0.7042034589975351
11556.8 3.9860544063402843 -0.6948140383239654
11557.0 3.9907818224641516 -0.6847087547378488
11557.2 4.001914327780801 -0.6743243265023088
11557.4 4.013496272818658 -0.6636519767390167
11557.6 4.026881621519022 -0.6520987690477534
11557.8 4.0375175234069145 -0.6397482430395437
11558.0 4.049271510987713 -0.6258379972376865
11558.2 4.057846404900054 -0.6122408497428987
11558.4 4.074640976718475 -0.596720158407
11558.6 4.08767326051777 -0.5803813874284262
11558.8 4.106990880614643 -0.5631410405640735
11559.0 4.125727873796426 -0.5443254745092678
11559.2 4.144296888426084 -0.5246969929007856
11559.4 4.1678921769048145 -0.502847956376114
11559.6 4.185798825716502 -0.48021937962202504
11559.8 4.206428193754344 -0.4561105498183136
