energy He_RT_after_H2 He_RT_after_H2_ref
11556.4 3.8265355330704436 -0.7156704116640709
11556.6 3.8356454513884795 -0.706847106437536
11556.8 3.8435804137375906 -0.6979774059279901
11557.0 3.8501309907794883 -0.6882205169628938
11557.2 3.8607617985959357 -0.67791092920201
11557.4 3.8696989169915583 -0.6668332268260897
11557.6 3.8773059805753354 -0.6552478933655003
11557.8 3.887463277381575 -0.6433950867292403
11558.0 3.8986073962860615 -0.6302443045137435
11558.2 3.9096456477926753 -0.6163925686667164
11558.4 3.9209054466323354 -0.6013653628841809
11558.6 3.9320744259721434 -0.5853652534854575
11558.8 3.946685438804125 -0.5687553516432532
11559.0 3.9629817465427277 -0.5505811625889214
11559.2 3.9753806451357447 -0.5311322657677956
11559.4 3.990739279052284 -0.5102617726470907
11559.6 4.011835648421359 -0.48731186613667304
