energy CO_RT CO_RT_ref
11556.6 3.8133590732230416 -0.7078562701828549
11556.8 3.8213733888696173 -0.6985251985195235
11557.0 3.8246205985159016 -0.6887221676675429
11557.2 3.833561962921163 -0.6786367268034766
11557.4 3.844871750416121 -0.6682695379090305
11557.6 3.8533357127480805 -0.6563806272481832
11557.8 3.8638609784975126 -0.6439901776319308
11558.0 3.8718954543000605 -0.6310277333845276
11558.2 3.884103543578063 -0.6177618202164993
11558.4 3.893235789546428 -0.603062140055667
11558.6 3.90385517335714 -0.5874915897243678
11558.8 3.9201313965908318 -0.5700157590262196
11559.0 3.9388319419638598 -0.5520801449070963
11559.2 3.9525308063630518 -0.5333352152397015
11559.4 3.964799662869212 -0.5125615078170542
11559.6 3.9820998350200294 -0.4903806757464591
11559.8 4.004178272289166 -0.46667900241933513
