# Null title                                   Feff8L (EXAFS)       0.1      
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7748
#           2       0.00000     25.11      6.00     2   3.9242
#           3       0.00000     14.84     48.00     3   4.1622
#           4       0.00000      5.81     48.00     3   4.7369
#           5       0.00000     59.98     24.00     2   4.8061
#     5/   5 paths used
#  xsedge+50, used to normalize mu           3.9222E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   11783.136    219.793   7.600  8.60331E-01  8.91445E-01 -3.48909E-02
   11786.041    222.698   7.650  8.74598E-01  8.90962E-01 -1.83580E-02
   11788.966    225.622   7.700  8.90901E-01  8.90479E-01  4.72807E-04
   11791.909    228.566   7.750  9.07067E-01  8.89997E-01  1.91650E-02
   11794.871    231.528   7.800  9.20969E-01  8.89514E-01  3.53285E-02
   11797.852    234.509   7.850  9.30865E-01  8.89031E-01  4.70033E-02
   11800.853    237.510   7.900  9.35666E-01  8.88548E-01  5.29596E-02
   11803.872    240.529   7.950  9.35079E-01  8.88065E-01  5.28629E-02
   11806.911    243.567   8.000  9.29611E-01  8.87583E-01  4.72764E-02
   11809.968    246.625   8.050  9.20199E-01  8.87100E-01  3.72481E-02
   11813.045    249.701   8.100  9.08683E-01  8.86616E-01  2.48432E-02
   11816.140    252.797   8.150  8.96812E-01  8.86133E-01  1.20275E-02
   11819.255    255.912   8.200  8.86101E-01  8.85650E-01  5.07703E-04
   11822.389    259.045   8.250  8.77590E-01  8.85167E-01 -8.54212E-03
   11825.541    262.198   8.300  8.71717E-01  8.84684E-01 -1.46236E-02
   11828.713    265.370   8.350  8.68330E-01  8.84201E-01 -1.79065E-02
   11831.904    268.561   8.400  8.66813E-01  8.83718E-01 -1.90819E-02
   11835.114    271.771   8.450  8.66306E-01  8.83235E-01 -1.91172E-02
   11838.343    275.000   8.500  8.65960E-01  8.82752E-01 -1.89702E-02
   11841.591    278.248   8.550  8.65007E-01  8.82183E-01 -1.94147E-02
   11844.858    281.515   8.600  8.63456E-01  8.81614E-01 -2.05366E-02
   11848.144    284.801   8.650  8.61573E-01  8.81045E-01 -2.20342E-02
   11851.449    288.106   8.700  8.60000E-01  8.80476E-01 -2.31840E-02
   11854.773    291.430   8.750  8.59565E-01  8.79907E-01 -2.30443E-02
   11858.117    294.774   8.800  8.61056E-01  8.79338E-01 -2.07227E-02
   11861.479    298.136   8.850  8.64974E-01  8.78769E-01 -1.56453E-02
   11864.860    301.517   8.900  8.71360E-01  8.78200E-01 -7.76091E-03
   11868.261    304.918   8.950  8.79715E-01  8.77631E-01  2.36654E-03
   11871.680    308.337   9.000  8.89037E-01  8.77061E-01  1.36043E-02
   11875.119    311.776   9.050  8.98054E-01  8.76349E-01  2.46751E-02
   11878.576    315.233   9.100  9.05163E-01  8.75636E-01  3.35893E-02
   11882.053    318.710   9.150  9.09047E-01  8.74924E-01  3.88461E-02
   11885.549    322.205   9.200  9.08862E-01  8.74212E-01  3.94741E-02
   11889.063    325.720   9.250  9.04412E-01  8.73499E-01  3.52405E-02
   11892.597    329.254   9.300  8.96207E-01  8.72787E-01  2.67171E-02
   11896.150    332.807   9.350  8.85378E-01  8.72074E-01  1.51874E-02
   11899.722    336.379   9.400  8.73473E-01  8.71362E-01  2.41194E-03
   11903.313    339.969   9.450  8.62165E-01  8.70649E-01 -9.69881E-03
   11906.923    343.579   9.500  8.52945E-01  8.69937E-01 -1.94382E-02
   11910.552    347.208   9.550  8.46736E-01  8.69207E-01 -2.57253E-02
   11914.200    350.856   9.600  8.44108E-01  8.68478E-01 -2.79208E-02
   11917.867    354.524   9.650  8.44827E-01  8.67748E-01 -2.62815E-02
   11921.553    358.210   9.700  8.48071E-01  8.67019E-01 -2.17418E-02
   11925.258    361.915   9.750  8.52641E-01  8.66289E-01 -1.56729E-02
   11928.982    365.639   9.800  8.57242E-01  8.65560E-01 -9.55915E-03
   11932.726    369.383   9.850  8.60775E-01  8.64831E-01 -4.66392E-03
   11936.488    373.145   9.900  8.62573E-01  8.64101E-01 -1.75840E-03
   11940.269    376.926   9.950  8.62527E-01  8.63372E-01 -9.72479E-04
   11944.070    380.727  10.000  8.61082E-01  8.62642E-01 -1.79898E-03
   11947.889    384.546  10.050  8.58948E-01  8.61886E-01 -3.38954E-03
   11951.728    388.385  10.100  8.57350E-01  8.61130E-01 -4.36451E-03
   11955.586    392.242  10.150  8.57293E-01  8.60374E-01 -3.56007E-03
   11959.462    396.119  10.200  8.59426E-01  8.59618E-01 -2.22298E-04
   11963.358    400.015  10.250  8.63836E-01  8.58862E-01  5.75826E-03
   11967.273    403.930  10.300  8.69976E-01  8.58106E-01  1.37546E-02
   11971.207    407.863  10.350  8.76734E-01  8.57349E-01  2.24796E-02
   11975.159    411.816  10.400  8.82630E-01  8.56593E-01  3.02205E-02
   11979.131    415.788  10.450  8.86124E-01  8.55837E-01  3.51839E-02
   11983.122    419.779  10.500  8.85942E-01  8.55081E-01  3.58824E-02
   11987.132    423.789  10.550  8.81375E-01  8.54325E-01  3.14777E-02
   11991.161    427.818  10.600  8.72464E-01  8.53569E-01  2.20075E-02
   11995.209    431.866  10.650  8.60056E-01  8.52813E-01  8.44287E-03
   11999.277    435.933  10.700  8.45680E-01  8.52057E-01 -7.44054E-03
   12003.363    440.020  10.750  8.31300E-01  8.51301E-01 -2.33554E-02
   12007.468    444.125  10.800  8.18969E-01  8.50545E-01 -3.69046E-02
   12011.592    448.249  10.850  8.10455E-01  8.49789E-01 -4.60120E-02
   12015.736    452.393  10.900  8.06927E-01  8.49032E-01 -4.92973E-02
   12019.898    456.555  10.950  8.08748E-01  8.48276E-01 -4.63199E-02
   12024.080    460.736  11.000  8.15423E-01  8.47520E-01 -3.76455E-02
   12028.280    464.937  11.050  8.25381E-01  8.46664E-01 -2.49877E-02
   12032.500    469.156  11.100  8.37264E-01  8.45807E-01 -1.00404E-02
   12036.738    473.395  11.150  8.49189E-01  8.44950E-01  4.98735E-03
   12040.996    477.653  11.200  8.59407E-01  8.44094E-01  1.80357E-02
   12045.273    481.929  11.250  8.66602E-01  8.43237E-01  2.75476E-02
   12049.568    486.225  11.300  8.70092E-01  8.42380E-01  3.27077E-02
   12053.883    490.540  11.350  8.69896E-01  8.41523E-01  3.35229E-02
   12058.217    494.874  11.400  8.66652E-01  8.40667E-01  3.07351E-02
   12062.570    499.227  11.450  8.61424E-01  8.39810E-01  2.55913E-02
   12066.942    503.599  11.500  8.55427E-01  8.38953E-01  1.95265E-02
   12071.333    507.990  11.550  8.49754E-01  8.38097E-01  1.38313E-02
   12075.743    512.400  11.600  8.45135E-01  8.37240E-01  9.37777E-03
   12080.172    516.829  11.650  8.41818E-01  8.36383E-01  6.46190E-03
   12084.620    521.277  11.700  8.39554E-01  8.35527E-01  4.79401E-03
   12089.087    525.744  11.750  8.37720E-01  8.34670E-01  3.63402E-03
   12093.574    530.230  11.800  8.35520E-01  8.33813E-01  2.03619E-03
   12098.079    534.736  11.850  8.32239E-01  8.32957E-01 -8.56966E-04
   12102.603    539.260  11.900  8.27463E-01  8.32100E-01 -5.54251E-03
   12107.147    543.804  11.950  8.21239E-01  8.31243E-01 -1.19723E-02
   12111.709    548.366  12.000  8.14108E-01  8.30386E-01 -1.95012E-02
   12116.291    552.947  12.050  8.07086E-01  8.29470E-01 -2.68466E-02
   12120.891    557.548  12.100  8.01223E-01  8.28554E-01 -3.28158E-02
   12125.511    562.168  12.150  7.97634E-01  8.27638E-01 -3.60649E-02
   12130.149    566.806  12.200  7.97166E-01  8.26722E-01 -3.55664E-02
   12134.807    571.464  12.250  8.00191E-01  8.25806E-01 -3.08586E-02
   12139.484    576.141  12.300  8.06496E-01  8.24890E-01 -2.21840E-02
   12144.180    580.837  12.350  8.15289E-01  8.23973E-01 -1.04857E-02
   12148.895    585.551  12.400  8.25325E-01  8.23057E-01  2.74131E-03
   12153.628    590.285  12.450  8.35127E-01  8.22141E-01  1.57150E-02
   12158.381    595.038  12.500  8.43258E-01  8.21225E-01  2.66933E-02
   12163.153    599.810  12.550  8.48584E-01  8.20309E-01  3.42937E-02
   12167.945    604.601  12.600  8.50473E-01  8.19393E-01  3.77389E-02
   12172.755    609.411  12.650  8.48894E-01  8.18476E-01  3.69763E-02
   12177.584    614.241  12.700  8.44386E-01  8.17560E-01  3.26469E-02
   12182.432    619.089  12.750  8.37912E-01  8.16644E-01  2.59124E-02
   12187.299    623.956  12.800  8.30632E-01  8.15728E-01  1.81790E-02
   12192.186    628.842  12.850  8.23640E-01  8.14812E-01  1.07807E-02
   12197.091    633.748  12.900  8.17734E-01  8.13896E-01  4.69304E-03
   12202.015    638.672  12.950  8.13258E-01  8.12979E-01  3.41436E-04
   12206.959    643.616  13.000  8.10062E-01  8.12063E-01 -2.45182E-03
   12211.921    648.578  13.050  8.07548E-01  8.11087E-01 -4.34203E-03
   12216.903    653.560  13.100  8.04980E-01  8.10110E-01 -6.30267E-03
   12221.903    658.560  13.150  8.01606E-01  8.09134E-01 -9.25963E-03
   12226.923    663.580  13.200  7.96937E-01  8.08157E-01 -1.38190E-02
   12231.962    668.619  13.250  7.90931E-01  8.07181E-01 -2.00390E-02
   12237.019    673.676  13.300  7.84073E-01  8.06204E-01 -2.73279E-02
   12242.096    678.753  13.350  7.77327E-01  8.05228E-01 -3.44973E-02
   12247.192    683.849  13.400  7.71965E-01  8.04251E-01 -3.99702E-02
   12252.307    688.964  13.450  7.69311E-01  8.03275E-01 -4.21024E-02
   12257.441    694.098  13.500  7.70430E-01  8.02298E-01 -3.95560E-02
   12262.594    699.251  13.550  7.75862E-01  8.01322E-01 -3.16419E-02
   12267.766    704.423  13.600  7.85433E-01  8.00345E-01 -1.85576E-02
   12272.957    709.614  13.650  7.98197E-01  7.99369E-01 -1.46003E-03
   12278.167    714.824  13.700  8.12539E-01  7.98392E-01  1.76506E-02
   12283.396    720.053  13.750  8.26411E-01  7.97416E-01  3.62242E-02
   12288.645    725.302  13.800  8.37672E-01  7.96439E-01  5.15811E-02
