# Null title                                   Feff8L (EXAFS)       0.1      
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7748
#           2       0.00000     25.11      6.00     2   3.9242
#           3       0.00000     14.84     48.00     3   4.1622
#           4       0.00000      5.81     48.00     3   4.7369
#           5       0.00000     59.98     24.00     2   4.8061
#     5/   5 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    10.0000   -1.798978E-03  6.987209E-03  5.000508E+01
    10.0500   -3.389537E-03  8.007374E-03  4.982840E+01
    10.1000   -4.364506E-03  1.064924E-02  4.984320E+01
    10.1500   -3.560067E-03  1.401843E-02  5.000871E+01
    10.2000   -2.222980E-04  1.766230E-02  5.025290E+01
    10.2500    5.758262E-03  2.137633E-02  5.053823E+01
    10.3000    1.375459E-02  2.505009E-02  5.084675E+01
    10.3500    2.247965E-02  2.861098E-02  5.116931E+01
    10.4000    3.022046E-02  3.200402E-02  5.150085E+01
    10.4500    3.518387E-02  3.518395E-02  5.183839E+01
    10.5000    3.588236E-02  3.811195E-02  5.218002E+01
    10.5500    3.147770E-02  4.075418E-02  5.252450E+01
    10.6000    2.200753E-02  4.308118E-02  5.287091E+01
    10.6500    8.442872E-03  4.506769E-02  5.321862E+01
    10.7000   -7.440545E-03  4.669259E-02  5.356711E+01
    10.7500   -2.335544E-02  4.793901E-02  5.391595E+01
    10.8000   -3.690463E-02  4.879440E-02  5.426476E+01
    10.8500   -4.601203E-02  4.925068E-02  5.461320E+01
    10.9000   -4.929728E-02  4.930436E-02  5.496093E+01
    10.9500   -4.631994E-02  4.895668E-02  5.530757E+01
    11.0000   -3.764548E-02  4.821370E-02  5.565272E+01
    11.0500   -2.498774E-02  4.726734E-02  5.599166E+01
    11.1000   -1.004041E-02  4.592187E-02  5.632825E+01
    11.1500    4.987345E-03  4.419464E-02  5.666176E+01
    11.2000    1.803572E-02  4.210949E-02  5.699128E+01
    11.2500    2.754764E-02  3.969748E-02  5.731561E+01
    11.3000    3.270771E-02  3.699807E-02  5.763310E+01
    11.3500    3.352289E-02  3.406111E-02  5.794146E+01
    11.4000    3.073508E-02  3.095019E-02  5.823743E+01
    11.4500    2.559128E-02  2.774839E-02  5.851637E+01
    11.5000    1.952649E-02  2.456804E-02  5.877160E+01
    11.5500    1.383131E-02  2.156630E-02  5.899402E+01
    11.6000    9.377772E-03  1.896536E-02  5.917304E+01
    11.6500    6.461904E-03  1.706097E-02  5.930181E+01
    11.7000    4.794011E-03  1.616942E-02  5.938925E+01
